Section,Massa linear,Area,d,bf,tw,bf/2tf,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J
W360X347,0.347,44200,406,404,27.2,4.62,1250000000,7140000,6150000,168,479000000,3620000,2380000,104,24800000
W460X235,0.235,29900,500,287,20.6,3.92,1270000000,5830000,5080000,206,144000000,1550000,1010000,70,10500000
W310X454,0.454,57700,414,335,41.4,2.45,1480000000,8800000,7130000,160,437000000,4000000,2610000,87,77000000
W360X421,0.421,53700,424,409,32.8,3.89,1600000000,8880000,7520000,172,599000000,4490000,2930000,106,43300000
W460X286,0.286,36300,518,292,24.4,3.27,1610000000,7240000,6230000,210,183000000,1950000,1260000,71,18600000
W360X509,0.509,65200,445,417,39.1,3.31,2040000000,11000000,9140000,177,753000000,5540000,3620000,108,74100000
W460X349,0.349,44300,536,297,29.5,2.76,2040000000,9000000,7640000,214,232000000,2440000,1570000,72,32800000
W360X592,0.592,75500,465,422,45.0,2.92,2500000000,13100000,10700000,182,903000000,6590000,4290000,109,114000000
W460X421,0.421,53700,556,302,35.6,2.38,2570000000,11100000,9260000,219,293000000,3030000,1930000,74,55800000
W360X677,0.677,86500,483,427,51.3,2.62,2990000000,15300000,12400000,186,1070000000,7670000,4980000,111,164000000
W360X818,0.818,105000,513,437,60.5,2.25,3930000000,19300000,15300000,194,1350000000,9550000,6190000,114,278000000
W360X990,0.99,126000,549,450,71.9,1.95,5160000000,24300000,18800000,203,1740000000,12000000,7730000,117,466000000
W360X1202,1.2,154000,579,472,95.0,1.82,6620000000,30000000,22800000,208,2310000000,15200000,9780000,123,766000000
